ID,kind,number,harai,ninki
201901010203,三連複,1 - 5 - 7,1130,3
201901010203,三連単,5 → 7 → 1,3840,8
201901010204,単勝,7,300,1
201901010204,複勝,7br5br10,120br150br210,1br2br5
201901010204,枠連,4 - 5,540,1
201901010204,馬連,5 - 7,930,3
201901010204,ワイド,5 - 7br7 - 10br5 - 10,350br480br670,3br4br8
201901010204,馬単,7 → 5,1620,4
201901010204,三連複,5 - 7 - 10,2230,6
201901010204,三連単,7 → 5 → 10,8770,18
201901010205,単勝,7,180,1
201901010205,複勝,7br1br4,110br160br220,1br4br6
201901010205,枠連,1 - 7,540,2
201901010205,馬連,1 - 7,550,1
201901010205,ワイド,1 - 7br4 - 7br1 - 4,250br320br810,2br5br14
201901010205,馬単,7 → 1,880,2
201901010205,三連複,1 - 4 - 7,1540,8
201901010205,三連単,7 → 1 → 4,4310,12
201901010206,単勝,13,200,1
201901010206,複勝,13br3br9,110br120br120,1br2br3
201901010206,枠連,3 - 8,410,1
201901010206,馬連,3 - 13,440,1
201901010206,ワイド,3 - 13br9 - 13br3 - 9,200br240br260,1br2br3
201901010206,馬単,13 → 3,750,1
201901010206,三連複,3 - 9 - 13,610,1
201901010206,三連単,13 → 3 → 9,2150,1
201901010207,単勝,4,310,2
201901010207,複勝,4br7br1,110br160br110,2br4br1
201901010207,枠連,4 - 7,1790,7
201901010207,馬連,4 - 7,1520,6
201901010207,ワイド,4 - 7br1 - 4br1 - 7,370br150br290,6br1br4
201901010207,馬単,4 → 7,2410,11
201901010207,三連複,1 - 4 - 7,740,2
201901010207,三連単,4 → 7 → 1,6080,19
201901010208,単勝,1,360,3
201901010208,複勝,1br5,160br160,3br2
201901010208,馬連,1 - 5,460,3
201901010208,ワイド,1 - 5br1 - 4br4 - 5,160br150br130,3br2br1
201901010208,馬単,1 → 5,980,6
201901010208,三連複,1 - 4 - 5,200,1
201901010208,三連単,1 → 5 → 4,1640,6
201901010209,単勝,9,180,1
201901010209,複勝,9br2br1,120br240br460,1br5br9
201901010209,枠連,2 - 7,850,4
201901010209,馬連,2 - 9,1220,4
201901010209,ワイド,2 - 9br1 - 9br1 - 2,"470br850br2,270",3br8br28
201901010209,馬単,9 → 2,1610,4
201901010209,三連複,1 - 2 - 9,5530,19
201901010209,三連単,9 → 2 → 1,17570,50
201901010210,単勝,1,840,4
201901010210,複勝,1br9br4,240br300br130,5br7br1
201901010210,枠連,1 - 8,1380,6
201901010210,馬連,1 - 9,4840,19
201901010210,ワイド,1 - 9br1 - 4br4 - 9,"1,420br400br660",20br4br12
201901010210,馬単,1 → 9,7650,35
201901010210,三連複,1 - 4 - 9,3500,14
201901010210,三連単,1 → 9 → 4,32410,140
201901010211,単勝,13,230,1
201901010211,複勝,13br6br14,130br260br610,1br5br9
201901010211,枠連,4 - 8,730,3
201901010211,馬連,6 - 13,1220,4
201901010211,ワイド,6 - 13br13 - 14br6 - 14,"530br1,360br4,320",4br18br41
201901010211,馬単,13 → 6,1780,5
201901010211,三連複,6 - 13 - 14,12310,41
201901010211,三連単,13 → 6 → 14,39580,126
201901010212,単勝,10,1580,5
201901010212,複勝,10br9br6,460br280br550,6br4br7
201901010212,枠連,7 - 7,8100,21
201901010212,馬連,9 - 10,8670,27
201901010212,ワイド,9 - 10br6 - 10br6 - 9,"2,210br4,230br2,020",26br37br21
201901010212,馬単,10 → 9,19000,53
201901010212,三連複,6 - 9 - 10,46370,106
201901010212,三連単,10 → 9 → 6,278750,572
201901010301,単勝,3,180,1
201901010301,複勝,3br2br6,110br390br160,1br7br2
201901010301,馬連,2 - 3,1850,9
201901010301,ワイド,2 - 3br3 - 6br2 - 6,"570br240br1,120",9br3br16
201901010301,馬単,3 → 2,2690,9
201901010301,三連複,2 - 3 - 6,2670,11
201901010301,三連単,3 → 2 → 6,11830,42
201901010302,単勝,13,900,5
201901010302,複勝,13br7br2,380br260br930,7br4br11
201901010302,枠連,5 - 8,3780,14
201901010302,馬連,7 - 13,3450,15
201901010302,ワイド,7 - 13br2 - 13br2 - 7,"1,260br5,660br3,370",15br55br34
201901010302,馬単,13 → 7,3800,15
201901010302,三連複,2 - 7 - 13,29580,98
201901010302,三連単,13 → 7 → 2,144060,480
201901010303,単勝,4,530,2
201901010303,複勝,4br15br2,160br110br240,2br1br5
201901010303,枠連,2 - 8,440,1
201901010303,馬連,4 - 15,620,1
201901010303,ワイド,4 - 15br2 - 4br2 - 15,280br880br650,1br10br5
201901010303,馬単,4 → 15,1580,4
201901010303,三連複,2 - 4 - 15,2070,4
201901010303,三連単,4 → 15 → 2,10930,18
201901010304,単勝,5,1870,6
201901010304,複勝,5br7br9,"370br1,560br310",6br11br5
201901010304,枠連,4 - 5,8000,21
201901010304,馬連,5 - 7,38040,57
201901010304,ワイド,5 - 7br5 - 9br7 - 9,"6,740br2,390br10,310",51br23br63
201901010304,馬単,5 → 7,66310,98
201901010304,三連複,5 - 7 - 9,98900,168
201901010304,三連単,5 → 7 → 9,939760,1127
201901010305,単勝,14,990,3
201901010305,複勝,14br5br6,"400br1,210br1,580",4br10br11
201901010305,枠連,4 - 8,4150,15
201901010305,馬連,5 - 14,14160,38
