,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),ID,corner1_diff,corner2_diff,corner3_diff,corner4_diff,condition,racename,racestart,racekind,raceweather,racefieldconditin
0,1,1,1,ゴルコンダ,牡2,54.0,ルメー,1:48.3,,1.0,1.4,36.5,1-1-1-1,美浦木村,518(-16),201901010101,0,0,0,0,B,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
1,2,3,3,プントファイヤー,牡2,54.0,岩田康,1:50.1,大,2.0,3.5,38.2,2-2-2-2,美浦手塚,496(-8),201901010101,1.8,1.5,0.3,1.5,B,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
2,3,4,4,ラグリマスネグラス,牡2,51.0,▲団野,1:50.9,5,6.0,46.6,38.8,2-4-3-3,美浦藤沢和,546(+6),201901010101,1.5,3.3,1.8,4.5,B,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
3,4,8,9,キタノコドウ,牡2,51.0,▲菅原明,1:51.5,3.1/2,7.0,56.8,38.5,8-8-8-7,美浦高木,458(-8),201901010101,8.1,9.9,9.6,10.8,C,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
4,5,5,5,ネモフィラブルー,牡2,54.0,川島,1:51.7,1.1/2,9.0,140.3,38.9,5-6-6-6,栗東矢作,436(0),201901010101,4.8,7.8,6.6,9.3,C,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
5,6,8,8,マイネルラクスマン,牡2,54.0,丹内,1:52.1,2.1/2,3.0,9.7,40.1,5-2-3-3,美浦金成,480(+8),201901010101,5.1,1.8,2.1,4.8,B,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
6,7,2,2,サンモンテベロ,牝2,54.0,黛,1:52.5,2.1/2,8.0,114.7,39.6,7-8-7-7,美浦中野,450(+2),201901010101,6.6,9.6,8.1,11.100000000000001,B,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
7,8,7,7,エスカレーション,牝2,54.0,藤岡佑,1:52.5,アタマ,5.0,26.1,39.5,8-6-8-9,美浦高柳瑞,448(-4),201901010101,8.4,8.1,9.9,12.600000000000001,B,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
8,9,6,6,セイウンジュリア,牝2,54.0,池添,1:52.6,クビ,4.0,16.4,40.3,4-5-5-5,栗東浅見,470(0),201901010101,3.3,4.8,3.6,6.3,B,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
0,1,7,7,イエスサンキュー,牝3,54.0,加藤,0:59.2,,4.0,4.3,35.7,3-2,栗東羽月,492(+2),201901010102,0.0,0.0,2.1,1.8,C,3歳未勝利,10:15発走,ダ1000m(右),天候:曇,馬場:良
1,2,1,1,ユキエチャン,牝3,53.0,☆横山武,0:59.4,1.1/4,6.0,19.8,34.6,8-7,栗東須貝,474(+4),201901010102,0.0,0.0,9.6,9.3,D,3歳未勝利,10:15発走,ダ1000m(右),天候:曇,馬場:良
2,3,6,6,キョウエイメサイア,牝3,54.0,松岡,0:59.5,3/4,5.0,13.9,36.2,1-1,美浦伊藤伸,456(0),201901010102,0.0,0.0,0,0,D,3歳未勝利,10:15発走,ダ1000m(右),天候:曇,馬場:良
3,4,8,8,サウンドシュリット,牝3,54.0,松田,0:59.8,2,8.0,27.2,36.4,2-2,栗東高橋康,452(+6),201901010102,0.0,0.0,0.3,1.5,C,3歳未勝利,10:15発走,ダ1000m(右),天候:曇,馬場:良
4,5,4,4,ローマノキュウジツ,牝3,51.0,▲団野,1:00.0,1,2.0,4.1,36.4,3-4,栗東牧浦,490(-2),201901010102,0.0,0.0,1.8,3.3,B,3歳未勝利,10:15発走,ダ1000m(右),天候:曇,馬場:良
5,6,3,3,プリモパンサー,牝3,51.0,▲菅原明,1:00.0,アタマ,7.0,27.0,35.4,7-7,美浦伊藤圭,446(-8),201901010102,0.0,0.0,8.1,9.600000000000001,D,3歳未勝利,10:15発走,ダ1000m(右),天候:曇,馬場:良
6,7,2,2,ローブドール,牝3,54.0,ルメー,1:00.2,1.1/4,1.0,2.9,36.3,6-5,美浦和田雄,426(-6),201901010102,0.0,0.0,5.1,4.8,B,3歳未勝利,10:15発走,ダ1000m(右),天候:曇,馬場:良
7,8,5,5,カーヴィー,牝3,54.0,藤岡康,1:00.3,1/2,3.0,4.2,36.6,5-6,栗東牧浦,432(0),201901010102,0.0,0.0,3.6,6.3,B,3歳未勝利,10:15発走,ダ1000m(右),天候:曇,馬場:良
0,1,2,2,リヴィエラ,牡3,56.0,柴山,2:34.6,,3.0,4.5,38.1,5-5-5-5,栗東渡辺,494(-6),201901010103,4.8,6.3,7.199999999999999,4.8,B,3歳未勝利,10:45発走,ダ2400m(右),天候:曇,馬場:良
1,2,6,6,オウケンランボー,牡3,56.0,岩田康,2:34.7,1/2,1.0,3.6,38.7,8-8-3-3,美浦和田勇,518(+3),201901010103,9.6,9.6,3.3,1.8,B,3歳未勝利,10:45発走,ダ2400m(右),天候:曇,馬場:良
2,3,8,11,エイシンフォーラン,牡3,56.0,菱田,2:35.0,2,7.0,14.0,39.4,2-2-1-1,栗東上村,484(+2),201901010103,1.5,1.5,0,0,C,3歳未勝利,10:45発走,ダ2400m(右),天候:曇,馬場:良
3,4,8,10,ロズ,牝3,54.0,荻野極,2:35.3,2,11.0,59.1,38.9,7-7-5-6,栗東高柳大,432(-4),201901010103,6.6,8.1,6.8999999999999995,6.6,C,3歳未勝利,10:45発走,ダ2400m(右),天候:曇,馬場:良
4,5,5,5,スキンズマッチ,牡3,56.0,国分恭,2:35.7,2.1/2,4.0,6.4,39.5,3-3-4-4,栗東大根田,432(-2),201901010103,3.0,4.5,4.8,3.3,C,3歳未勝利,10:45発走,ダ2400m(右),天候:曇,馬場:良
5,6,4,4,シナリオライン,牡3,56.0,丹内,2:36.0,1.3/4,10.0,57.6,40.4,9-8-2-2,美浦岩戸,500(-2),201901010103,11.1,9.9,0.3,0.3,B,3歳未勝利,10:45発走,ダ2400m(右),天候:曇,馬場:良
6,7,6,7,トラインコンパス,牡3,55.0,☆横山武,2:36.7,4,5.0,9.2,40.2,3-3-5-6,美浦小笠,424(-4),201901010103,3.3,4.8,6.6,6.3,C,3歳未勝利,10:45発走,ダ2400m(右),天候:曇,馬場:良
7,8,1,1,ラドミュージシャン,牡3,53.0,▲団野,2:37.4,4,8.0,21.8,39.7,11-11-10-9,栗東池添兼,474(-20),201901010103,17.1,15.9,16.2,15.9,B,3歳未勝利,10:45発走,ダ2400m(右),天候:曇,馬場:良
8,9,3,3,サングリーンベイ,牡3,56.0,横山和,2:37.4,クビ,6.0,11.5,40.6,10-10-9-8,美浦藤原辰,486(0),201901010103,14.1,12.9,10.2,12.6,B,3歳未勝利,10:45発走,ダ2400m(右),天候:曇,馬場:良
9,10,7,9,アオイハヤブサ,牝3,54.0,藤岡康,2:41.4,大,9.0,53.3,45.0,1-1-5-9,栗東野中,446(-14),201901010103,0,0,6.3,15.6,C,3歳未勝利,10:45発走,ダ2400m(右),天候:曇,馬場:良
10,11,7,8,デルマシャンティ,牡3,56.0,ルメー,2:43.5,大,2.0,4.1,45.4,5-5-11-11,栗東牧田,516(-4),201901010103,5.1,6.6,19.2,21.9,B,3歳未勝利,10:45発走,ダ2400m(右),天候:曇,馬場:良
0,1,6,10,プライムシスター,牝3,54.0,岩田康,2:02.2,,3.0,9.5,35.3,6-6-6-7,栗東西村,492(-2),201901010104,6.3,6.3,6.3,5.4,B,3歳未勝利,11:15発走,芝2000m(右,天候:晴,馬場:良
1,2,4,6,レンジャーガール,牝3,54.0,国分恭,2:02.2,クビ,2.0,5.7,35.5,5-5-4-2,栗東河内,446(-2),201901010104,4.8,4.8,4.5,1.8,B,3歳未勝利,11:15発走,芝2000m(右,天候:晴,馬場:良
2,3,5,8,ゼットレオ,牡3,56.0,池添,2:02.3,クビ,4.0,9.8,35.4,6-6-6-2,栗東池添兼,432(0),201901010104,6.6,6.6,6.6,2.1,B,3歳未勝利,11:15発走,芝2000m(右,天候:晴,馬場:良
3,4,5,7,バイキングクラップ,牡3,56.0,ルメー,2:02.4,3/4,1.0,1.6,35.3,8-8-8-7,美浦堀,502(-6),201901010104,8.1,8.1,8.1,5.7,B,3歳未勝利,11:15発走,芝2000m(右,天候:晴,馬場:良
4,5,3,3,ヴィオラピューロ,牝3,54.0,吉田隼,2:02.7,1.3/4,7.0,27.3,36.4,1-1-1-1,栗東杉山,468(+18),201901010104,0,0,0,0,C,3歳未勝利,11:15発走,芝2000m(右,天候:晴,馬場:良
5,6,8,14,コウソクラッシュ,セ3,56.0,柴山,2:02.9,1.1/4,14.0,252.4,34.7,12-12-12-11,美浦中舘,438(-22),201901010104,14.700000000000001,14.700000000000001,14.700000000000001,12.3,D,3歳未勝利,11:15発走,芝2000m(右,天候:晴,馬場:良
6,7,7,12,アナザードリーム,牡3,56.0,菱田,2:03.1,1,6.0,14.1,36.6,2-2-2-2,栗東宮,456(-6),201901010104,1.5,1.8,1.5,1.5,C,3歳未勝利,11:15発走,芝2000m(右,天候:晴,馬場:良
7,8,7,11,ノアキセキ,牝3,53.0,☆横山武,2:03.3,1.1/4,5.0,10.0,36.2,8-8-8-7,美浦大江原,458(-2),201901010104,8.4,8.4,8.4,6.0,C,3歳未勝利,11:15発走,芝2000m(右,天候:晴,馬場:良
8,9,2,2,ハルノナゴリ,牝3,54.0,石川,2:03.4,3/4,9.0,87.4,36.8,3-2-3-5,栗東高橋忠,424(-4),201901010104,3.0,1.5,3.0,3.6,C,3歳未勝利,11:15発走,芝2000m(右,天候:晴,馬場:良
9,10,1,1,デルマトリアノン,牝3,54.0,荻野極,2:03.4,ハナ,11.0,174.7,35.7,10-10-10-10,美浦小野,448(-10),201901010104,11.4,11.4,11.4,9.0,B,3歳未勝利,11:15発走,芝2000m(右,天候:晴,馬場:良
10,11,6,9,プロース,牡3,53.0,▲菅原明,2:03.7,1.3/4,8.0,84.2,37.0,3-4-4-5,美浦高木,478(+2),201901010104,3.3,3.3,4.8,3.9,C,3歳未勝利,11:15発走,芝2000m(右,天候:晴,馬場:良
11,12,4,5,マミーフィンガー,牝3,54.0,横山和,2:03.7,アタマ,12.0,186.4,35.6,14-14-12-13,美浦水野,434(0),201901010104,16.200000000000003,16.200000000000003,14.4,15.3,B,3歳未勝利,11:15発走,芝2000m(右,天候:晴,馬場:良
12,13,8,13,ヴェルトラウン,牡3,56.0,古川,2:03.7,クビ,10.0,100.8,35.8,12-12-11-11,栗東坂口,424(0),201901010104,14.4,14.4,12.9,12.0,C,3歳未勝利,11:15発走,芝2000m(右,天候:晴,馬場:良
13,14,3,4,アビトレイタ,牡3,56.0,黛,2:04.4,4,13.0,223.2,36.3,11-11-12-14,栗東森田,504(-4),201901010104,12.9,12.9,15.000000000000002,16.8,C,3歳未勝利,11:15発走,芝2000m(右,天候:晴,馬場:良
0,1,1,1,エイリアス,牡2,54.0,柴山,1:31.1,,4.0,10.7,34.7,7-6-5,栗東浅見,466(0),201901010105,0.0,8.1,6.3,4.8,C,2歳新馬,12:05発走,芝1500m(右,天候:晴,馬場:良
1,2,7,8,インプルソ,牡2,54.0,黛,1:31.1,クビ,8.0,67.0,35.1,2-2-2,美浦松山,448(0),201901010105,0.0,0.3,0.3,1.8,D,2歳新馬,12:05発走,芝1500m(右,天候:晴,馬場:良
2,3,3,3,アルファウェーブ,牡2,54.0,ルメー,1:31.1,アタマ,1.0,1.5,34.7,6-6-5,美浦藤沢和,516(0),201901010105,0.0,5.1,6.6,5.1,B,2歳新馬,12:05発走,芝1500m(右,天候:晴,馬場:良
3,4,4,4,ポーカークイーン,牝2,54.0,松田,1:31.2,1/2,3.0,7.0,35.3,1-1-1,栗東須貝,430(0),201901010105,0.0,0,0,0,C,2歳新馬,12:05発走,芝1500m(右,天候:晴,馬場:良
4,5,2,2,ウインセレナード,牝2,54.0,松岡,1:31.4,3/4,2.0,5.2,35.2,5-4-2,栗東加用,456(0),201901010105,0.0,3.6,3.3,1.5,B,2歳新馬,12:05発走,芝1500m(右,天候:晴,馬場:良
5,6,5,5,サイモンルグラン,牡2,54.0,勝浦,1:31.8,2.1/2,5.0,18.8,35.2,7-8-8,美浦勢司,476(0),201901010105,0.0,8.4,8.1,8.1,B,2歳新馬,12:05発走,芝1500m(右,天候:晴,馬場:良
6,7,8,9,クレパト,牝2,54.0,吉田隼,1:32.1,2,6.0,26.9,36.0,3-3-4,栗東矢作,468(0),201901010105,0.0,1.8,1.8,3.3,C,2歳新馬,12:05発走,芝1500m(右,天候:晴,馬場:良
7,8,8,10,オーケーメジャー,牡2,54.0,石川,1:32.3,1.1/4,7.0,42.7,36.0,3-5-7,栗東奥村豊,458(0),201901010105,0.0,2.1,4.8,6.6,B,2歳新馬,12:05発走,芝1500m(右,天候:晴,馬場:良
8,9,7,7,ジェッティー,牡2,54.0,国分恭,1:32.6,2,10.0,106.1,36.1,7-8-8,栗東湯窪,430(0),201901010105,0.0,8.700000000000001,8.4,8.4,B,2歳新馬,12:05発走,芝1500m(右,天候:晴,馬場:良
9,中止,6,6,カテドラルロック,牝2,54.0,古川,,,9.0,96.3,,10,美浦石毛,412(0),201901010105,0.0,14.700000000000001,9.9,9.9,B,2歳新馬,12:05発走,芝1500m(右,天候:晴,馬場:良
0,1,8,8,ダイヤレイジング,牝3,54.0,岩田康,1:46.9,,5.0,8.6,40.0,1-1-1-1,栗東小崎,444(-4),201901010106,0,0,0,0,C,3歳未勝利,12:35発走,ダ1700m(右),天候:晴,馬場:良
1,2,5,5,シゲルクロダイヤ,牡3,56.0,古川,1:46.9,クビ,1.0,2.2,39.6,5-6-4-4,栗東谷,496(+4),201901010106,3.8999999999999995,6.6,3.5999999999999996,3.5999999999999996,B,3歳未勝利,12:35発走,ダ1700m(右),天候:晴,馬場:良
2,3,2,2,ピエナガウディ,牡3,56.0,城戸,1:47.2,1.1/2,8.0,95.0,40.2,2-2-2-2,栗東奥村豊,432(-4),201901010106,0.3,1.5,1.5,1.5,C,3歳未勝利,12:35発走,ダ1700m(右),天候:晴,馬場:良
3,4,4,4,コンシード,牡3,56.0,丹内,1:47.5,1.3/4,2.0,3.8,40.3,5-4-4-4,美浦天間,454(-12),201901010106,3.5999999999999996,5.1,3.3,3.3,B,3歳未勝利,12:35発走,ダ1700m(右),天候:晴,馬場:良
4,5,6,6,ルルド,牡3,56.0,荻野極,1:47.8,2,6.0,13.7,39.9,7-7-6-6,栗東杉山,416(-11),201901010106,5.3999999999999995,9.6,6.8999999999999995,6.8999999999999995,C,3歳未勝利,12:35発走,ダ1700m(右),天候:晴,馬場:良
5,6,3,3,オウケンスターマン,牡3,53.0,▲団野,1:47.8,ハナ,4.0,6.9,40.7,2-2-2-2,栗東藤岡,478(-2),201901010106,0.6,1.8,1.8,1.8,B,3歳未勝利,12:35発走,ダ1700m(右),天候:晴,馬場:良
6,7,7,7,エメラルドカット,牝3,54.0,的場,1:48.4,4,7.0,47.5,40.4,8-8-6-6,美浦的場,476(-4),201901010106,8.399999999999999,11.1,6.6,6.6,B,3歳未勝利,12:35発走,ダ1700m(右),天候:晴,馬場:良
7,中止,1,1,バベルノトウ,牡3,56.0,柴山,,,3.0,5.4,,4-4-8-8,美浦大和田,504(+8),201901010106,2.0999999999999996,4.8,8.399999999999999,12.899999999999999,C,3歳未勝利,12:35発走,ダ1700m(右),天候:晴,馬場:良
0,1,7,8,マイネルバトゥータ,牡3,54.0,丹内,0:58.5,,1.0,1.8,35.5,2-2,美浦高橋祥,476(-12),201901010107,0.0,0.0,0.6,0.6,B,3歳以上1勝クラス,13:05発走,ダ1000m(右),天候:晴,馬場:良
1,2,4,4,エルピド,牡3,54.0,勝浦,0:58.6,1/2,9.0,28.0,35.2,6-4,美浦清水英,450(-10),201901010107,0.0,0.0,5.3999999999999995,2.0999999999999996,B,3歳以上1勝クラス,13:05発走,ダ1000m(右),天候:晴,馬場:良
2,3,6,7,プリンセスヨウク,牝5,55.0,黛,0:58.8,1.1/2,11.0,52.0,34.3,11-10,美浦石栗,446(-2),201901010107,0.0,0.0,13.5,7.499999999999999,B,3歳以上1勝クラス,13:05発走,ダ1000m(右),天候:晴,馬場:良
3,4,3,3,ペイシャディア,牝4,55.0,横山和,0:58.9,1/2,6.0,20.6,35.9,2-1,美浦土田,440(-2),201901010107,0.0,0.0,0,0,C,3歳以上1勝クラス,13:05発走,ダ1000m(右),天候:晴,馬場:良
4,5,8,10,タイキラメール,牡6,57.0,荻野琢,0:58.9,アタマ,3.0,8.4,35.2,7-7,栗東大久保,478(+2),201901010107,0.0,0.0,8.7,4.499999999999999,B,3歳以上1勝クラス,13:05発走,ダ1000m(右),天候:晴,馬場:良
5,6,1,1,クリノカサット,牝4,55.0,加藤,0:59.1,1.1/4,10.0,34.8,35.3,7-7,栗東藤沢則,436(-4),201901010107,0.0,0.0,8.399999999999999,4.199999999999999,C,3歳以上1勝クラス,13:05発走,ダ1000m(右),天候:晴,馬場:良
6,7,5,5,ラガーユミリン,牝5,55.0,池添,0:59.3,1.1/4,5.0,12.4,35.2,9-10,栗東池添兼,458(-2),201901010107,0.0,0.0,10.5,7.799999999999999,B,3歳以上1勝クラス,13:05発走,ダ1000m(右),天候:晴,馬場:良
7,8,2,2,ハービーボンズ,セ4,57.0,吉田隼,0:59.5,1,8.0,25.6,35.5,9-9,美浦中川,430(+2),201901010107,0.0,0.0,10.2,5.999999999999999,B,3歳以上1勝クラス,13:05発走,ダ1000m(右),天候:晴,馬場:良
8,9,6,6,ロシアンブルー,牝3,49.0,▲菅原明,0:59.9,2.1/2,4.0,10.5,36.9,1-2,美浦武市,414(-14),201901010107,0.0,0.0,0.3,0.3,C,3歳以上1勝クラス,13:05発走,ダ1000m(右),天候:晴,馬場:良
9,10,8,11,ヒロノオリオン,牝4,55.0,岩田康,0:59.9,クビ,2.0,5.1,36.8,4-4,栗東高橋康,486(-2),201901010107,0.0,0.0,2.3999999999999995,2.6999999999999993,C,3歳以上1勝クラス,13:05発走,ダ1000m(右),天候:晴,馬場:良
10,11,7,9,ヘーザ,牝4,55.0,城戸,1:00.5,3.1/2,7.0,25.1,37.4,4-4,栗東高柳大,430(-4),201901010107,0.0,0.0,2.0999999999999996,2.3999999999999995,C,3歳以上1勝クラス,13:05発走,ダ1000m(右),天候:晴,馬場:良
0,1,2,2,マーマレードガール,牝3,52.0,丹内,1:08.5,,3.0,4.3,34.8,1-1,美浦中野,456(-4),201901010108,0.0,0.0,0,0,B,3歳以上1勝クラス,13:40発走,芝1200m(右,天候:晴,馬場:良
1,2,5,6,ヴィーナスフローラ,牝5,55.0,藤岡康,1:08.6,3/4,4.0,6.1,34.4,8-8,栗東須貝,490(-6),201901010108,0.0,0.0,7.199999999999999,5.999999999999999,B,3歳以上1勝クラス,13:40発走,芝1200m(右,天候:晴,馬場:良
2,3,5,5,ファンシャン,牝3,49.0,▲団野,1:08.6,クビ,8.0,21.6,34.6,5-4,美浦畠山,414(-6),201901010108,0.0,0.0,4.8,3.5999999999999996,B,3歳以上1勝クラス,13:40発走,芝1200m(右,天候:晴,馬場:良
3,4,1,1,ブラウンローズ,牝5,55.0,勝浦,1:08.6,ハナ,7.0,21.3,34.7,4-4,美浦高橋裕,480(-2),201901010108,0.0,0.0,3.3,3.3,C,3歳以上1勝クラス,13:40発走,芝1200m(右,天候:晴,馬場:良
4,5,6,8,コルデトゥリーニ,牝3,52.0,菱田,1:08.7,1/2,1.0,3.3,34.1,11-10,栗東岡田,438(+2),201901010108,0.0,0.0,10.2,9.3,C,3歳以上1勝クラス,13:40発走,芝1200m(右,天候:晴,馬場:良
5,6,7,10,スズカユース,牝3,49.0,▲菅原明,1:08.8,クビ,6.0,13.3,34.8,5-4,美浦伊藤圭,446(-4),201901010108,0.0,0.0,5.1,3.8999999999999995,B,3歳以上1勝クラス,13:40発走,芝1200m(右,天候:晴,馬場:良
6,7,7,9,パレニア,牝3,52.0,国分恭,1:08.8,クビ,5.0,9.1,35.0,3-2,栗東高橋亮,490(-2),201901010108,0.0,0.0,1.8,1.8,B,3歳以上1勝クラス,13:40発走,芝1200m(右,天候:晴,馬場:良
7,8,8,12,メイショウコミチ,牝3,52.0,古川,1:08.9,1/2,10.0,106.3,34.6,8-8,栗東本田,440(-12),201901010108,0.0,0.0,6.8999999999999995,5.699999999999999,B,3歳以上1勝クラス,13:40発走,芝1200m(右,天候:晴,馬場:良
8,9,8,11,ドゥモワゼル,牝5,54.0,☆横山武,1:09.0,クビ,9.0,69.8,35.0,5-4,美浦粕谷,458(-6),201901010108,0.0,0.0,5.3999999999999995,4.199999999999999,B,3歳以上1勝クラス,13:40発走,芝1200m(右,天候:晴,馬場:良
9,10,4,4,グッドワード,牝4,55.0,岩田康,1:09.2,1.1/2,2.0,3.9,35.5,2-2,栗東高橋忠,478(-10),201901010108,0.0,0.0,0.3,1.5,B,3歳以上1勝クラス,13:40発走,芝1200m(右,天候:晴,馬場:良
10,11,6,7,ディアバビアナ,牝4,55.0,的場,1:09.6,2.1/2,11.0,148.0,35.2,10-10,美浦高橋裕,476(0),201901010108,0.0,0.0,8.7,9.0,B,3歳以上1勝クラス,13:40発走,芝1200m(右,天候:晴,馬場:良
11,除外,3,3,ショウナンバニラ,牝3,52.0,池添,,,,,,,美浦武市,414(-12),201901010108,0.0,0.0,11.7,10.8,B,3歳以上1勝クラス,13:40発走,芝1200m(右,天候:晴,馬場:良
0,1,3,3,ヨハン,牡3,54.0,古川,1:45.1,,1.0,1.7,36.5,3-3-3-4,栗東高橋康,432(+2),201901010109,3.0,3.0,1.8,3.3,B,3歳以上1勝クラス,14:15発走,ダ1700m(右),天候:晴,馬場:良
1,2,6,6,オメガレインボー,牡3,54.0,岩田康,1:45.3,1.1/4,2.0,5.1,36.9,2-2-2-2,栗東安田翔,448(+6),201901010109,1.5,1.5,0.3,0.3,C,3歳以上1勝クラス,14:15発走,ダ1700m(右),天候:晴,馬場:良
2,3,7,8,シンアンドケン,牡4,57.0,横山典,1:45.4,3/4,3.0,6.3,36.8,3-3-3-3,栗東本田,484(-4),201901010109,3.3,3.3,2.1,1.8,C,3歳以上1勝クラス,14:15発走,ダ1700m(右),天候:晴,馬場:良
3,4,5,5,ガトーブリランテ,牝4,54.0,☆横山武,1:45.6,1.1/4,5.0,11.0,37.3,1-1-1-1,美浦中舘,474(+12),201901010109,0,0,0,0,C,3歳以上1勝クラス,14:15発走,ダ1700m(右),天候:晴,馬場:良
4,5,4,4,コスモハヤテ,牡3,54.0,丹内,1:45.9,2,8.0,58.9,37.2,8-7-3-4,美浦小野,454(+2),201901010109,8.1,9.9,2.4,3.5999999999999996,C,3歳以上1勝クラス,14:15発走,ダ1700m(右),天候:晴,馬場:良
5,6,2,2,ニシノアメイズ,牝3,49.0,▲菅原明,1:46.1,1,6.0,36.7,37.0,5-5-7-7,美浦松山,498(+4),201901010109,4.8,6.3,5.4,8.1,B,3歳以上1勝クラス,14:15発走,ダ1700m(右),天候:晴,馬場:良
6,7,1,1,リキサンゴルト,牡4,57.0,柴山,1:46.2,1/2,9.0,107.4,37.1,10-10-7-6,美浦奥平,492(-4),201901010109,12.6,12.9,5.7,5.1,B,3歳以上1勝クラス,14:15発走,ダ1700m(右),天候:晴,馬場:良
7,8,8,9,ロードラナキラ,牡4,57.0,藤岡佑,1:46.5,2,4.0,6.7,37.2,9-9-9-8,栗東高野,446(-8),201901010109,9.6,11.4,7.2,9.9,B,3歳以上1勝クラス,14:15発走,ダ1700m(右),天候:晴,馬場:良
8,9,8,10,スーペルゴラッソ,牡3,51.0,▲団野,1:47.1,3.1/2,7.0,53.2,38.1,5-5-6-8,栗東加用,504(+2),201901010109,5.1,6.6,3.9,9.6,C,3歳以上1勝クラス,14:15発走,ダ1700m(右),天候:晴,馬場:良
9,10,7,7,パークス,牝3,52.0,原田和,1:47.3,1.1/2,10.0,215.0,37.7,7-7-10-10,美浦古賀史,526(+2),201901010109,6.6,9.6,10.2,12.9,C,3歳以上1勝クラス,14:15発走,ダ1700m(右),天候:晴,馬場:良
0,1,5,5,カルリーノ,牡3,54.0,岩田康,1:28.3,,1.0,2.1,34.1,7-7-3,美浦高橋裕,492(-6),201901010110,0.0,8.1,5.4,2.4,B,羊ケ丘特別,14:50発走,芝1500m(右,天候:晴,馬場:良
1,2,8,9,ラフェリシテ,牝3,52.0,藤岡康,1:28.6,1.3/4,3.0,4.5,34.7,5-5-3,栗東須貝,426(+14),201901010110,0.0,4.8,3.9,2.1,B,羊ケ丘特別,14:50発走,芝1500m(右,天候:晴,馬場:良
2,3,1,1,セントセシリア,牝3,52.0,吉田隼,1:28.7,1/2,7.0,22.6,35.3,1-1-1,栗東矢作,390(+4),201901010110,0.0,0,0,0,B,羊ケ丘特別,14:50発走,芝1500m(右,天候:晴,馬場:良
3,4,7,7,ファストライフ,牝4,55.0,横山武,1:28.9,1.1/2,4.0,6.9,34.6,9-8-3,美浦青木,450(-6),201901010110,0.0,9.6,7.2,2.6999999999999997,B,羊ケ丘特別,14:50発走,芝1500m(右,天候:晴,馬場:良
4,5,4,4,ヒロノオウカン,牡4,57.0,川島,1:29.1,1.1/2,10.0,184.7,35.2,6-5-7,美浦蛯名,430(-14),201901010110,0.0,6.3,3.6,4.199999999999999,C,羊ケ丘特別,14:50発走,芝1500m(右,天候:晴,馬場:良
5,6,8,10,グレイスアン,牝3,52.0,池添,1:29.2,クビ,2.0,4.0,35.6,3-2-2,美浦斎藤誠,484(-14),201901010110,0.0,1.8,2.1,0.3,B,羊ケ丘特別,14:50発走,芝1500m(右,天候:晴,馬場:良
6,7,6,6,センティフォリア,牝4,55.0,国分恭,1:29.4,1.1/4,6.0,22.3,34.9,10-10-8,栗東田所,432(+8),201901010110,0.0,12.6,8.7,5.999999999999999,B,羊ケ丘特別,14:50発走,芝1500m(右,天候:晴,馬場:良
7,8,3,3,パブロフテソーロ,牡3,54.0,黛,1:30.3,5,8.0,31.3,36.0,7-8-8,美浦武井,532(+14),201901010110,0.0,7.8,6.9,5.699999999999999,C,羊ケ丘特別,14:50発走,芝1500m(右,天候:晴,馬場:良
8,9,2,2,イッツマイターン,牡4,57.0,柴山,1:31.6,8,5.0,18.7,38.0,4-2-3,美浦天間,502(-6),201901010110,0.0,3.3,1.5,1.8,C,羊ケ丘特別,14:50発走,芝1500m(右,天候:晴,馬場:良
9,10,7,8,マッチョベリー,牝4,55.0,勝浦,1:33.1,9,9.0,146.1,39.4,2-2-10,美浦中野,474(-6),201901010110,0.0,0.3,1.8,12.0,C,羊ケ丘特別,14:50発走,芝1500m(右,天候:晴,馬場:良
0,1,6,9,ウインシャトレーヌ,牝5,52.0,横山武,1:46.4,,4.0,10.2,35.4,3-2-2-1,栗東大久保,506(+8),201901010111,3.5999999999999996,1.5,0.3,0,B,TVh賞,15:25発走,芝1800m(右,天候:晴,馬場:良
1,2,3,3,ハナズレジェンド,牡6,55.0,川島,1:46.4,クビ,11.0,40.6,34.6,7-7-8-7,栗東矢作,454(-4),201901010111,6.6,10.5,6.9,5.3999999999999995,B,TVh賞,15:25発走,芝1800m(右,天候:晴,馬場:良
2,3,4,5,ウインイクシード,牡5,54.0,松岡,1:46.4,ハナ,2.0,5.6,34.9,6-6-5-4,美浦鈴木伸,490(0),201901010111,5.1,9.0,3.9,3.8999999999999995,B,TVh賞,15:25発走,芝1800m(右,天候:晴,馬場:良
3,4,5,8,ブレステイキング,牡4,57.0,ルメー,1:46.4,ハナ,1.0,1.8,35.1,2-3-3-2,美浦堀,490(+6),201901010111,1.5,3.0,1.8,1.5,B,TVh賞,15:25発走,芝1800m(右,天候:晴,馬場:良
