,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),ID,corner1_diff,corner2_diff,corner3_diff,corner4_diff,condition,racename,racestart,racekind,raceweather,racefieldconditin
0,1,6,6,ウインルーア,牝2,54.0,横山武,1:49.7,,3,16.0,35.6,5-5-3-3,美浦青木,438(+4),202001010101,4.8,4.8,1.8,3.0,B,2歳未勝利,09:55発走,芝1800m(右,天候:曇,馬場:良
1,2,2,2,アークライト,牡2,54.0,ルメー,1:50.0,1.3/4,2,1.9,35.8,3-3-4-3,美浦藤沢和,510(0),202001010101,3.0,3.0,3.3,3.3,B,2歳未勝利,09:55発走,芝1800m(右,天候:曇,馬場:良
2,3,3,3,ギャラントウォリア,牡2,54.0,池添,1:50.1,1/2,1,1.8,36.2,2-2-2-2,栗東平田,482(-6),202001010101,1.5,1.5,0.3,1.5,B,2歳未勝利,09:55発走,芝1800m(右,天候:曇,馬場:良
3,4,1,1,ジュンブーケ,牝2,52.0,△亀田,1:50.5,2.1/2,4,22.2,36.7,1-1-1-1,栗東森,442(0),202001010101,0,0,0,0,C,2歳未勝利,09:55発走,芝1800m(右,天候:曇,馬場:良
4,5,4,4,キタノマンゲツ,牡2,54.0,藤岡康,1:51.0,3,5,55.7,36.6,6-6-5-5,栗東中尾,426(-8),202001010101,10.8,7.8,4.8,4.8,C,2歳未勝利,09:55発走,芝1800m(右,天候:曇,馬場:良
5,6,5,5,アイフレンズ,牝2,54.0,黛,1:52.7,大,6,73.9,38.0,3-3-6-6,美浦中野,426(-2),202001010101,3.3,3.3,6.3,10.8,D,2歳未勝利,09:55発走,芝1800m(右,天候:曇,馬場:良
